TIUMPTNILAROCUBO	8	Barium  	Boron   	Carbon  	Curium  	Iron    	Platinum	Titanium	Uranium
SULMMIUFNORCEABH	8	Barium  	Bromine 	Chromium	Curium  	Fluorine	Iron    	Sulfur  	Uranium
AGONRDLCUIEIMSHT	8	Argon   	Cesium  	Gold    	Helium  	Lithium 	Radium  	Radon   	Silicon
SIV_RELTBANIDOCZ	8	Arsenic 	Carbon  	Cobalt  	Lead    	Radon   	Silicon 	Silver  	Zinc
HEACKRLDUCIUMNMZ	8	Aluminum	Calcium 	Curium  	Helium  	Lead    	Nickel  	Radium  	Zinc
MAGLRDENOSICIMUZ	8	Arsenic 	Cesium  	Iodine  	Lead    	Magnesium	Radium  	Sodium  	Zinc
BRMZAOIUCLCNTHEK	8	Barium  	Bromine 	Calcium 	Chlorine	Cobalt  	Helium  	Nickel  	Zinc
ALTIDRONYGONHXEB	8	Argon   	Boron   	Gold    	Hydrogen	Neon    	Nitrogen	Oxygen  	Xenon   
RAMMGNDUAOEINESX	8	Argon   	Magnesium	Manganese	Neon    	Radium  	Radon   	Sodium  	Xenon
ECHTSILIURACMBON	8	Barium  	Calcium 	Carbon  	Cesium  	Cobalt  	Iron    	Lithium 	Silicon
CFLMUHOUBRINOMAE	8	Boron   	Bromine 	Chlorine	Chromium	Curium  	Fluorine	Iron    	Uranium
NILGCEDOKASI_RUM	8	Arsenic 	Cesium  	Gold    	Iodine  	Lead    	Nickel  	Radium  	Sodium
IODASINRULEUMVFH	8	Helium  	Iodine  	Radium  	Radon   	Silver  	Sodium  	Sulfur  	Uranium
FLUTADONIRGINETS	8	Argon   	Fluorine	Gold    	Iodine  	Iron    	Nitrogen	Radon   	Tungsten
NEN_XOGILYRTCHDA	8	Argon   	Chlorine	Hydrogen	Iron    	Neon    	Nitrogen	Oxygen  	Xenon
COBONURAMITLZMUP	8	Aluminum	Barium  	Boron   	Cobalt  	Curium  	Iron    	Platinum	Zinc
CALKRSECBOINNDMU	8	Arsenic 	Bromine 	Calcium 	Carbon  	Cesium  	Neon    	Nickel  	Sodium
BOLAXGRDYEONPPNC	8	Argon   	Boron   	Copper  	Gold    	Neon    	Oxygen  	Radon   	Xenon
NEMNUIOUMRLCBAHF	8	Aluminum	Barium  	Bromine 	Chlorine	Chromium	Fluorine	Iron    	Neon
