OSLWTAIANHFNCGAD	5	Afghanistan	China	Laos	Taiwan	Thailand
CAMBNLPOTEDASVIJ	5	Cambodia	Japan	Maldives	Nepal	Vietnam
TAIWRLASANOYMOGM	5	Laos	Malaysia	Mongolia	Myanmar 	Taiwan
CHPSIAIEPLNDPINO	5	China	India	Indonesia	Nepal	Philippines
CAMBLDOAASINYVET	5	Cambodia	Laos	Malaysia	Maldives	Vietnam
TILWHAIAPPNISEPD	5	India	Nepal	Philippines	Taiwan	Thailand
_VIECHNTBMUAARYM	5	Bhutan	Brunei	China	Myanmar 	Vietnam
INDOHAKNTIEARSLP	5	Indonesia	Nepal	Pakistan	Sri Lanka	Thailand
HRTJBUAMMPNIYAWE	5	Bhutan	Brunei	Japan	Myanmar 	Taiwan
OGAKLANPIDOIERSM	5	India	Laos	Mongolia	Singapore	Sri Lanka
TSIKYAAWMLNPRAME	5	Malaysia	Myanmar 	Nepal	Pakistan	Taiwan
CHPJTAIAMDNLBOOG	5	Cambodia	China	Japan	Mongolia	Thailand
VSAMITNHKEUBLAPR	5	Bhutan	Brunei	Nepal	Pakistan	Vietnam
HTRAMAISINLYDKAM	5	India	Malaysia	Myanmar 	Sri Lanka	Thailand
CHTSBUIARENWOPAG	5	Bhutan	Brunei	China	Singapore	Taiwan
LRSTEAOTPNMIJAYM	5	East Timor 	Japan	Laos	Myanmar 	Nepal
CMODABNIHIAGUTLO	5	Bhutan	Cambodia	India	Mongolia	Thailand
KNPMTAAWJEILSRVD	5	Japan	Maldives	Sri Lanka	Taiwan	Vietnam
CHINAODAMBNIRUSE	5	Brunei	Cambodia	China	India	Indonesia
JPELATANKTSO_IMR	5	East Timor 	Japan	Laos	Nepal	Pakistan
CAMBWENOSITDVAIN	5	Cambodia	India	Indonesia	Taiwan	Vietnam
CTMDHANKRILAASYM	5	China	Malaysia	Myanmar 	Sri Lanka	Thailand
SORTNAUHLEPKJARO	5	Japan	Laos	Nepal	North Korea	South Korea
CHLWTAIAMDNEOBRU	5	Brunei	Cambodia	China	Taiwan	Thailand
MYLJSAMAINPRGAEO	5	Japan	Malaysia	Myanmar 	Nepal	Singapore
CGISFHTNAAADNLIW	5	Afghanistan	China	India	Taiwan	Thailand
MYALMNTPAUEIRBHV	5	Bhutan	Brunei	Myanmar 	Nepal	Vietnam
MONINADGEILOVSHC	5	China	India	Indonesia	Maldives	Mongolia
HRAMBUNPIETAVMYJ	5	Bhutan	Brunei	Japan	Myanmar 	Vietnam
MEPKRONASIAGCHLO	5	China	Laos	Mongolia	Singapore	Sri Lanka
MALGWDNIEIABVSHT	5	Bangladesh	India	Maldives	Taiwan	Thailand
CHRYKISAANLTJPAM	5	China	Japan	Malaysia	Pakistan	Sri Lanka
MLIVGADEINTSWABH	5	Bangladesh	India	Maldives	Taiwan	Vietnam
SAKGTINAHUEPCBRO	5	Bhutan	Brunei	China	Pakistan	Singapore
LAIHGDOSNNEBICAM	5	Bangladesh	Cambodia	India	Indonesia	Laos
CNGFAHNATIAPSWKJ	5	Afghanistan	China	Japan	Pakistan	Taiwan
VIPMSEDAHTNLUBAG	5	Bangladesh	Bhutan	Maldives	Nepal	Vietnam
INDMLISOAONEPGR_	5	India	Indonesia	Laos	Mongolia	Singapore
MAPJNKLADAIYHTSR	5	Japan	Malaysia	Pakistan	Sri Lanka	Thailand
LPNRGAOEINDSBAIH	5	Bangladesh	India	Indonesia	Laos	Singapore
MYSTKIALAWANJPMR	5	Japan	Malaysia	Myanmar 	Pakistan	Taiwan
CKORHIELTUNABROS	5	Brunei	China	Laos	North Korea	South Korea
GLAMINDIATEVBHS_	5	Bangladesh	India	Maldives	Thailand	Vietnam
BURSHTOLKPANORE_	5	Bhutan	Laos	Nepal	North Korea	South Korea
MNAYALTSPDIEJAKV	5	Japan	Malaysia	Maldives	Pakistan	Vietnam
SPAIBOELRUNRTHKO	5	Brunei	Laos	Nepal	North Korea	South Korea
MLIVGADEANTSIBHU	5	Bangladesh	Bhutan	India	Maldives	Vietnam
SRILTOAPUHNEAKOR	5	Laos	Nepal	North Korea	South Korea	Sri Lanka
MESHNODIBNALAIGO	5	Bangladesh	India	Indonesia	Laos	Mongolia
SILEROARUTNOBHKA	5	Bhutan	Laos	North Korea	South Korea	Sri Lanka
